# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
#  l TT               EE               TE                BB               phiphi           Tphi             Ephi             
   2 1.3206839809e-10 6.3344228813e-15 4.1142711828e-13 0.0000000000e+00 8.1138221281e-09 4.6433097443e-10 -2.1540436084e-12
   3 1.2538446190e-10 9.7989673637e-15 5.0217150975e-13 0.0000000000e+00 4.9960643446e-09 3.3299782566e-10 -1.8196710562e-12
   4 1.1761656570e-10 1.0452755476e-14 4.9707851654e-13 0.0000000000e+00 3.4807649103e-09 2.5505717454e-10 -1.3774749563e-12
   5 1.1113063107e-10 8.8414998061e-15 4.5102713401e-13 0.0000000000e+00 2.6033076257e-09 2.0269490641e-10 -9.6103911833e-13
   6 1.0740810342e-10 6.2246654521e-15 3.9058951446e-13 0.0000000000e+00 2.0368622393e-09 1.6536473433e-10 -5.9907836079e-13
   7 1.0527967757e-10 3.7873867073e-15 3.2530851902e-13 0.0000000000e+00 1.6445413047e-09 1.3781175414e-10 -3.1121452236e-13
   8 1.0426891972e-10 2.1408687073e-15 2.6322801221e-13 0.0000000000e+00 1.3613490157e-09 1.1691657174e-10 -1.0199518109e-13
   9 1.0359928053e-10 1.3088446125e-15 2.1049581260e-13 0.0000000000e+00 1.1470434810e-09 1.0056568610e-10 3.0346718165e-14
  10 1.0346991410e-10 9.9956962962e-16 1.7104028385e-13 0.0000000000e+00 9.8135596365e-10 8.7574139059e-11 9.8283240004e-14
  11 1.0370800228e-10 8.9622541990e-16 1.4501402902e-13 0.0000000000e+00 8.4633667967e-10 7.8075539108e-11 1.1762833399e-13
  12 1.0429064996e-10 8.1706869010e-16 1.3126355779e-13 0.0000000000e+00 7.4074307416e-10 6.8960611001e-11 1.0384636447e-13
  13 1.0506906604e-10 7.1846674620e-16 1.2715720600e-13 0.0000000000e+00 6.5393642131e-10 6.1499580306e-11 7.2633940692e-14
